series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,126,13.799735212917398,12.708695008141163,14.938836371051279,12.35083333260216,15.353032440509327
gurkor,127,13.802927992447291,12.696580617762024,14.955567255129917,12.330925983949093,15.34684702976347
gurkor,128,13.799911339811302,12.683571741092425,14.968037092490434,12.327288429522595,15.399599598280158
gurkor,129,13.80618993322239,12.678079461059026,14.960619192226453,12.324383269859403,15.38782240791969
gurkor,130,13.808755183609025,12.647914855942581,14.953617461219558,12.302754842166253,15.403593071846535
gurkor,131,13.795394566292122,12.63689573195693,14.984947787399683,12.283362314453772,15.40677701409508
gurkor,132,13.798518910898057,12.63804904975578,14.983493126043665,12.265325313607656,15.420832726495723
gurkor,133,13.803031111912437,12.61690141873906,15.00846993818338,12.248081723178464,15.458698430406317
gurkor,134,13.797937124786122,12.614284169124875,15.011216074993484,12.227917193786118,15.459147091219473
gurkor,135,13.798982251486278,12.593050303038204,15.023461357480217,12.21114467979858,15.488757633974094
gurkor,136,13.792647088805298,12.592075135096284,15.044630202470582,12.2032070830656,15.50413546367796
gurkor,137,13.794256840863985,12.576541467367054,15.067933497411063,12.180245881423962,15.509341747725898
gurkor,138,13.799850434492665,12.560771151035452,15.057289743489042,12.16546521073948,15.520130885676735
gurkor,139,13.796413521234548,12.559638667100343,15.068516847738982,12.157489650113043,15.557929267356792
gurkor,140,13.796284997915897,12.546281705249145,15.088544769918785,12.144161639184729,15.57430159445871
gurkor,141,13.790995452529113,12.533498581298264,15.094651748469804,12.13062650243769,15.58278050353313
gurkor,142,13.797416674575224,12.523469545101463,15.102407983852649,12.129552257290229,15.589919374652922
gurkor,143,13.798277332642686,12.514874189408358,15.1089398851831,12.112866008788838,15.614603311761755
gurkor,144,13.79407165472331,12.499932706698445,15.11540749258881,12.094290685237933,15.622561920875189
gurkor,145,13.789970938341307,12.492462164577333,15.123368405548199,12.111105834306116,15.635729432560735
gurkor,146,13.79726290175754,12.50070811416145,15.148133092804793,12.103727348259467,15.664044750224974
gurkor,147,13.788897941376945,12.498274708935375,15.135894219146364,12.092878670060346,15.671292922247451
gurkor,148,13.79226398277114,12.49677847769105,15.157010377418755,12.076780004720499,15.66120366679202
gurkor,149,13.795146985883315,12.487145485792164,15.158602126045178,12.031429414771774,15.68097662742975
gurkor,150,13.794187594311289,12.478288275205264,15.157561020048565,12.023107009855059,15.707512680888588
gurkor,151,13.795803493952477,12.47817768962744,15.18807930975722,12.0042702426928,15.723612086929338
gurkor,152,13.775576543834397,12.479008916067668,15.205984670071821,12.01640896353268,15.740380111851458
gurkor,153,13.778113092290655,12.460914674345133,15.206763328852595,11.993543516660004,15.772594708130116
gurkor,154,13.795754768913012,12.472889074548567,15.23848370015936,11.991203486541197,15.792306151034149
gurkor,155,13.784592714810175,12.478291344264054,15.257878845120945,11.983667977976024,15.836190984270393
gurkor,156,13.782536829249688,12.462240599395583,15.267665193791506,11.965541908860876,15.862870987728472
gurkor,157,13.787923765143885,12.450251944798964,15.295279918476004,11.962447023429878,15.890015021687375
gurkor,158,13.782764366463091,12.42986677555556,15.302142158152227,11.936840393820756,15.888950789217835
gurkor,159,13.780975443932384,12.431329585204463,15.301601385676527,11.921503959441697,15.910253610077579
gurkor,160,13.79094548866666,12.410527020286988,15.309979628503834,11.916122009896801,15.863753069088787
gurkor,161,13.780406538007476,12.388470487275354,15.308782048239259,11.913790987478203,15.933966835881561
gurkor,162,13.786562879652891,12.377404504879234,15.319698141148233,11.90582412496155,15.941751478258746
gurkor,163,13.793818494455426,12.393416241768008,15.329185567124489,11.900637844201668,15.963249443296306
gurkor,164,13.783733400646408,12.390781933204783,15.3233958101545,11.899917240350998,15.964073078598261
gurkor,165,13.780980953903017,12.379960934724032,15.318808602399239,11.887974083427743,15.986604714464313
gurkor,166,13.77865151264104,12.365023431262125,15.347914057926644,11.86939613889245,15.966926372398467
gurkor,167,13.784869107367864,12.376143126620462,15.362973619141762,11.820512380393604,16.037119694118697
gurkor,168,13.786960792440246,12.351313600818079,15.389072633332136,11.84200942530958,16.01121830766568
gurkor,169,13.793218174168635,12.342004008574277,15.380788556445678,11.83993846320307,16.00145135546716
gurkor,170,13.793748263101259,12.341989115629723,15.368468748866015,11.81599146806273,16.01583883283267
gurkor,171,13.797081489446143,12.32338677502342,15.388693719113755,11.774624411479486,16.03084744217454
gurkor,172,13.796362225195022,12.295377290530475,15.405495546779802,11.783751857626758,16.04747718632154
gurkor,173,13.795608433830282,12.310820433277462,15.426047899662386,11.784941997864204,16.02097994585008
gurkor,174,13.797025037292386,12.302011706058428,15.43234001669542,11.783670316909062,16.06100159298791
gurkor,175,13.785651445318013,12.302963031489153,15.44826773253462,11.786595827632198,16.060532008595896
