series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,83,13.971141643110403,13.476184815947667,14.46225052855576,13.317742137221137,14.604734281695725
gurkor,84,13.972422129104526,13.476175659899814,14.470708300223208,13.322624454958792,14.610883189483385
gurkor,85,13.977492001881128,13.474166823178408,14.477914484263117,13.321540075970853,14.618842970930062
gurkor,86,13.977619052200264,13.471003280189318,14.482943211058329,13.321140486191286,14.622701957343905
gurkor,87,13.978491530762458,13.470315411825245,14.488647178545982,13.3144472543034,14.628659475990716
gurkor,88,13.97956270714521,13.472559211398146,14.490833880177913,13.317470106736875,14.640934036916581
gurkor,89,13.98117148827501,13.462263603615549,14.497815282071572,13.306277966046297,14.649489746088738
gurkor,90,13.983722522254745,13.461424598156391,14.499748637760675,13.30475291449077,14.650803636659813
gurkor,91,13.985088279772249,13.45851339795559,14.503947237480409,13.300657082229465,14.660512440097838
gurkor,92,13.986411769719364,13.462086575216375,14.510154545291817,13.301273022168157,14.671778704235907
gurkor,93,13.98937031086073,13.463125777118396,14.514959144431558,13.296597868812054,14.675357957321795
gurkor,94,13.991036755938751,13.462932421523847,14.520716093391554,13.297553694957967,14.67667901918112
gurkor,95,13.992764076104317,13.455537084630047,14.531587129954637,13.289899415070373,14.683823002872968
gurkor,96,13.99528874231858,13.45307134824598,14.531283003997386,13.292317437283861,14.69083296967085
gurkor,97,13.99759551929527,13.457595765504792,14.5386433461337,13.29052998393789,14.701447372819109
gurkor,98,13.999692628341833,13.456073142798376,14.549870292062195,13.283443412931573,14.710999344354535
gurkor,99,14.004010675031784,13.460359416198434,14.556566820077173,13.2807643034839,14.715581038339378
gurkor,100,14.009411288285271,13.456066007529278,14.558675768151565,13.28121787727114,14.722348697467096
gurkor,101,14.011026615261787,13.455721480221694,14.562360641256221,13.275069859946502,14.734742530504342
gurkor,102,14.012933695919415,13.45378296746347,14.567834861123194,13.276815560307186,14.73643055497175
gurkor,103,14.01651038960587,13.458432243234453,14.576032822236648,13.275948661064307,14.738144353167497
gurkor,104,14.016915707271139,13.453545334975935,14.582816201851754,13.275112988787091,14.745330088443108
gurkor,105,14.018133127338956,13.452035663414646,14.59098216971765,13.277979932090306,14.755441661605191
gurkor,106,14.018298951178632,13.448748089787365,14.59547568045693,13.272513923551049,14.76668142315839
gurkor,107,14.022097273971958,13.451020833948435,14.600676766152885,13.270255313172992,14.767156551512949
gurkor,108,14.02793026473503,13.449745871015184,14.603937800319978,13.272232165739997,14.768207552097964
gurkor,109,14.030144405414003,13.451614565479268,14.607303759679297,13.265534086985971,14.770971222154648
gurkor,110,14.031494963737675,13.448898603012502,14.611666547912805,13.270059084205279,14.779916908108744
gurkor,111,14.032745957065352,13.447634331372841,14.617158739225404,13.26484334904318,14.78816585922989
gurkor,112,14.035423647917524,13.443544098302205,14.621055837191886,13.254247012158698,14.786472151723226
gurkor,113,14.038122666769425,13.443520023252411,14.627159627050073,13.253941481572461,14.797183526609412
gurkor,114,14.039027102710907,13.442640417395681,14.628890665914366,13.252230074045332,14.8015978624241
gurkor,115,14.041503853537826,13.437455656003456,14.637196276610371,13.24291023409861,14.801294663607848
gurkor,116,14.044268042350977,13.43768289475511,14.638178387857005,13.247484012244684,14.805754285771835
gurkor,117,14.049879399201231,13.433091299471009,14.6419010122859,13.246216129351412,14.810024487666256
gurkor,118,14.049001499928949,13.431831441464682,14.64836554367614,13.247863139638365,14.811743727058916
gurkor,119,14.052457375874027,13.433048615302623,14.656482072504167,13.245318465883878,14.822621274722229
gurkor,120,14.05565736173153,13.433220772986658,14.658141121271974,13.242043158950478,14.833697163551243
gurkor,121,14.059642115904504,13.433994346341573,14.663120556758631,13.243684766815777,14.837627604282845
gurkor,122,14.060021107232537,13.432984019906337,14.66964993845198,13.246538700673296,14.843118053853436
gurkor,123,14.059971959657503,13.430572390271472,14.677100593378082,13.24295297222424,14.856460979598651
gurkor,124,14.064483496196171,13.428751799770568,14.68266152051004,13.247142116406174,14.861471349612493
gurkor,125,14.068000525363562,13.422851714658263,14.678873205486488,13.241413060798562,14.867463451430742
gurkor,126,14.067410732391822,13.422254684216863,14.693428554934945,13.243930566426155,14.870861574618596
gurkor,127,14.069277165093007,13.417328179481347,14.69939005867753,13.240103225518235,14.870969841065138
gurkor,128,14.069566513213783,13.416896292460368,14.706391635959688,13.235987494846006,14.88098729775831
gurkor,129,14.07461539852009,13.419935328048172,14.70979215857458,13.233852287601588,14.88573477856354
gurkor,130,14.078951884758418,13.418089642498586,14.718300764666356,13.225785085260908,14.900666125667993
gurkor,131,14.080990052243392,13.417021198321153,14.72069703890689,13.229488851978996,14.901408753876874
gurkor,132,14.082211267444078,13.415661038988686,14.72576492354604,13.229398198929928,14.910671380616472
gurkor,133,14.081951788954598,13.414084817522534,14.729296571961394,13.227414433434474,14.908803495612517
gurkor,134,14.086389708465529,13.412160431487786,14.73725804654606,13.219643716081375,14.91480689546647
gurkor,135,14.086822164624659,13.409249961845154,14.739455670127331,13.216306539087807,14.916653976650299
gurkor,136,14.088897063138173,13.40662809132789,14.746382957663137,13.212838260012438,14.92587787533016
gurkor,137,14.091296451584423,13.406524759114726,14.748615704881093,13.208057014063192,14.935587660968725
gurkor,138,14.093696819352168,13.404498024994908,14.754762447437537,13.204047915378418,14.938396878566008
gurkor,139,14.096008356037174,13.409483263097824,14.761825048535616,13.200857445574236,14.95286656601464
gurkor,140,14.098703761021063,13.407656255302072,14.7662127334688,13.200901816744244,14.950756983706102
gurkor,141,14.100913865929826,13.414637862844296,14.774762361121695,13.198174639995052,14.960313554007149
gurkor,142,14.099275977518722,13.412520617229802,14.774600199133646,13.197832332266884,14.959415166390794
gurkor,143,14.099472988614776,13.408057734697774,14.780052591731845,13.204092696978025,14.962695316190386
gurkor,144,14.099185841189325,13.412702030870948,14.782649344045387,13.202028734824257,14.962145783631263
gurkor,145,14.102372868880297,13.415939678153329,14.787753784844547,13.204533728157763,14.982274981320746
gurkor,146,14.108078422772847,13.410987743699714,14.796086674836676,13.201282211214037,14.98619688679447
gurkor,147,14.114922627116547,13.413628097171774,14.798755910605415,13.198457112325094,14.999758467337752
gurkor,148,14.114897065416148,13.40995958358659,14.800548421071564,13.198826183041266,15.001737171089813
gurkor,149,14.117013146425819,13.410502800149485,14.80806851748975,13.198621171346373,15.011688741205093
gurkor,150,14.117648494885387,13.406852948908744,14.815538620499817,13.189745355798664,15.016339860827143
gurkor,151,14.116930339373248,13.405033684358873,14.817949464426459,13.2014576600953,15.027867846259834
