series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,61,13.921734681408841,13.38510385991989,14.479879914857955,13.236774852553843,14.642138942338208
gurkor,62,13.923872452197882,13.382864061471132,14.486751354161415,13.233355996018588,14.650420053945831
gurkor,63,13.926010551255212,13.380659127559126,14.493588695809525,13.229981791123073,14.658657353844228
gurkor,64,13.928148978631226,13.378488223202243,14.500392774910429,13.226651166346178,14.666851913698437
gurkor,65,13.930287734376355,13.376350546035692,14.50716439395551,13.223363092025766,14.675004763314579
gurkor,66,13.932426818541007,13.374245324558808,14.513904324571978,13.220116578109268,14.683116892889192
gurkor,67,13.934566231175618,13.372171816501568,14.52061330915648,13.216910672057267,14.691189255105723
gurkor,68,13.936705972330635,13.3701293073005,14.527292062399122,13.213744456887515,14.699222767090466
gurkor,69,13.938846042056493,13.368117108675156,14.533941272706965,13.210617049348006,14.70721831223947
gurkor,70,13.940986440403655,13.366134557297299,14.54056160353494,13.207527598208998,14.71517674192659
gurkor,71,13.943127167422574,13.3641810135453,14.547153694631337,13.204475282664465,14.723098877101938
gurkor,72,13.945268223163724,13.362255860337413,14.553718163204616,13.20145931083471,14.730985509789358
gurkor,73,13.947409607677589,13.360358502037737,14.56025560501742,13.198478918362303,14.73883740449046
gurkor,74,13.949551321014642,13.358488363429428,14.56676659541332,13.195533367094361,14.746655299502288
gurkor,75,13.951693363225386,13.356644888750358,14.57325169028123,13.192621943844875,14.754439908155083
gurkor,76,13.953835734360313,13.354827540786324,14.579711426962122,13.189743959230995,14.762191919975907
gurkor,77,13.955978434469936,13.35303580001799,14.586146325102154,13.18689874657823,14.769912001783524
gurkor,78,13.958121463604776,13.351269163817504,14.592556887456023,13.1840856608894,14.777600798719412
gurkor,79,13.960264821815345,13.349527145691374,14.598943600644047,13.181304077872959,14.785258935219398
gurkor,80,13.962408509152189,13.34780927456642,14.605306935866302,13.17855339302663,14.79288701593012
gurkor,81,13.964552525665834,13.346115094115776,14.611647349576526,13.17583302077241,14.800485626573915
gurkor,82,13.966696871406832,13.344444162122334,14.61796528411875,13.173142393639608,14.808055334765868
gurkor,83,13.968841546425747,13.342796049876979,14.624261168329044,13.170480961492581,14.815596690786041
gurkor,84,13.970986550773127,13.341170341609415,14.630535418104628,13.167848190800298,14.823110228309876
gurkor,85,13.973131884499555,13.33956663394951,14.636788436942643,13.165243563944992,14.830596465099614
gurkor,86,13.975277547655596,13.33798453541696,14.643020616450361,13.1626665785673,14.838055903659082
gurkor,87,13.977423540291845,13.336423665937788,14.649232336828792,13.16011674694565,14.845489031854367
gurkor,88,13.9795698624589,13.334883656385676,14.655423967331307,13.157593595407718,14.852896323502335
gurkor,89,13.981716514207351,13.333364148146748,14.66159586669882,13.15509666377186,14.860278238929162
